"Date","Price","Open","High","Low","Vol.","Change %"
"May 15, 2021","562.84","601.83","606.50","562.84","2.26M","-6.57%"
"May 14, 2021","602.42","569.46","610.15","569.46","2.19M","5.35%"
"May 13, 2021","571.81","590.27","622.86","555.57","5.50M","-2.32%"
"May 12, 2021","585.38","670.01","679.99","585.38","2.81M","-12.84%"
"May 11, 2021","671.62","630.50","671.62","626.04","2.64M","6.32%"
"May 10, 2021","631.68","661.47","684.83","619.87","3.07M","-4.53%"
"May 09, 2021","661.64","645.86","673.56","637.04","2.34M","2.39%"
"May 08, 2021","646.17","624.14","650.00","623.07","2.19M","3.55%"
"May 07, 2021","623.99","633.92","634.24","614.55","1.98M","-1.58%"
"May 06, 2021","634.00","651.43","651.56","629.00","2.07M","-2.59%"
"May 05, 2021","650.85","627.45","650.85","627.45","2.27M","4.82%"
"May 04, 2021","620.95","677.41","677.41","620.95","3.76M","-8.16%"
"May 03, 2021","676.12","621.65","676.12","621.65","2.87M","8.71%"
"May 02, 2021","621.96","619.41","626.81","606.45","2.07M","0.33%"
"May 01, 2021","619.91","622.83","638.15","618.24","2.43M","-0.55%"
"Apr 30, 2021","623.31","600.06","623.31","598.74","3.43M","3.89%"
"Apr 29, 2021","599.95","563.24","605.06","563.24","4.34M","6.65%"
"Apr 28, 2021","562.52","569.03","573.61","550.88","2.38M","-1.11%"
"Apr 27, 2021","568.84","532.48","568.84","529.70","2.81M","6.27%"
"Apr 26, 2021","535.26","504.87","541.71","504.87","3.10M","6.15%"
"Apr 25, 2021","504.26","497.91","511.82","487.73","2.49M","1.36%"
"Apr 24, 2021","497.52","526.56","526.56","491.53","3.00M","-5.51%"
"Apr 23, 2021","526.54","505.00","526.54","473.80","6.86M","4.11%"
"Apr 22, 2021","505.74","545.51","577.56","505.74","6.38M","-6.91%"
"Apr 21, 2021","543.28","588.67","594.46","543.28","5.69M","-7.53%"
"Apr 20, 2021","587.50","505.68","587.50","488.16","5.73M","16.56%"
"Apr 19, 2021","504.01","481.42","532.79","481.42","5.03M","4.68%"
"Apr 18, 2021","481.46","516.41","516.41","442.20","4.47M","-6.54%"
"Apr 17, 2021","515.13","509.96","540.59","509.96","2.95M","1.35%"
"Apr 16, 2021","508.27","542.25","542.42","508.27","4.19M","-6.28%"
"Apr 15, 2021","542.32","549.56","550.26","539.62","2.32M","-1.33%"
"Apr 14, 2021","549.63","553.50","580.99","536.89","4.21M","-0.09%"
"Apr 13, 2021","550.14","596.62","596.62","544.93","5.45M","-8.11%"
"Apr 12, 2021","598.69","526.91","598.69","520.90","9.28M","13.91%"
"Apr 11, 2021","525.59","471.57","525.59","467.04","3.64M","11.29%"
"Apr 10, 2021","472.26","453.84","481.68","452.70","4.66M","4.14%"
"Apr 09, 2021","453.50","418.61","453.50","409.23","3.67M","8.57%"
"Apr 08, 2021","417.71","375.98","421.41","375.98","4.09M","11.25%"
"Apr 07, 2021","375.48","403.65","410.64","368.12","6.18M","-6.75%"
"Apr 06, 2021","402.68","368.43","405.23","366.57","4.48M","9.61%"
"Apr 05, 2021","367.38","349.28","373.99","338.19","3.49M","5.15%"
"Apr 04, 2021","349.37","319.25","351.60","319.25","2.72M","8.53%"
"Apr 03, 2021","321.91","338.87","348.44","321.91","3.10M","-4.83%"
"Apr 02, 2021","338.27","335.70","353.31","333.29","4.21M","1.18%"
"Apr 01, 2021","334.33","303.03","334.33","303.03","4.39M","10.64%"
"Mar 31, 2021","302.18","310.47","311.66","293.23","4.72M","-2.96%"
"Mar 30, 2021","311.41","275.32","311.41","272.00","5.53M","13.19%"
"Mar 29, 2021","275.13","268.54","275.79","267.22","2.73M","2.32%"
"Mar 28, 2021","268.90","270.77","278.75","263.87","3.27M","-0.15%"
"Mar 27, 2021","269.32","255.33","272.76","252.17","3.09M","5.62%"
"Mar 26, 2021","254.99","234.37","254.99","234.37","2.64M","9.00%"
"Mar 25, 2021","233.94","248.54","248.54","230.30","3.50M","-5.89%"
"Mar 24, 2021","248.59","254.73","267.49","248.13","3.27M","-2.68%"
"Mar 23, 2021","255.43","254.86","261.10","254.00","2.59M","0.15%"
"Mar 22, 2021","255.04","265.17","269.59","255.04","3.26M","-3.67%"
"Mar 21, 2021","264.75","263.26","267.42","259.10","1.97M","0.13%"
"Mar 20, 2021","264.41","262.56","270.21","262.56","2.38M","0.48%"
"Mar 19, 2021","263.15","261.51","267.00","261.51","2.26M","0.71%"
"Mar 18, 2021","261.30","270.93","275.99","261.30","3.15M","-3.17%"
"Mar 17, 2021","269.85","258.38","269.85","250.06","2.86M","4.48%"
"Mar 16, 2021","258.29","255.03","258.29","246.96","3.01M","1.60%"
"Mar 15, 2021","254.22","264.49","266.36","254.22","3.36M","-3.80%"
"Mar 14, 2021","264.27","276.24","276.24","264.27","2.43M","-4.21%"
"Mar 13, 2021","275.89","263.06","280.39","259.69","3.90M","4.73%"
"Mar 12, 2021","263.43","290.22","290.22","259.22","5.91M","-9.18%"
"Mar 11, 2021","290.07","279.70","292.80","274.57","6.60M","4.29%"
"Mar 10, 2021","278.13","294.67","294.67","273.71","6.01M","-5.08%"
"Mar 09, 2021","293.00","240.41","293.00","236.90","7.94M","21.77%"
"Mar 08, 2021","240.61","239.76","242.28","231.14","3.05M","0.24%"
"Mar 07, 2021","240.04","226.60","240.04","226.60","3.52M","6.09%"
"Mar 06, 2021","226.27","225.83","228.91","222.56","2.66M","0.27%"
"Mar 05, 2021","225.67","229.37","229.37","218.74","3.65M","-1.76%"
"Mar 04, 2021","229.71","240.61","243.63","228.82","4.00M","-4.63%"
"Mar 03, 2021","240.85","239.18","251.39","239.18","4.28M","0.58%"
"Mar 02, 2021","239.46","254.95","254.95","232.80","5.38M","-5.99%"
"Mar 01, 2021","254.73","211.22","255.58","211.22","7.91M","21.27%"
"Feb 28, 2021","210.05","223.52","226.58","199.30","5.68M","-6.88%"
"Feb 27, 2021","225.56","221.54","230.64","221.54","4.19M","1.55%"
"Feb 26, 2021","222.11","234.29","234.44","212.25","7.41M","-4.96%"
"Feb 25, 2021","233.69","254.12","257.20","233.69","6.87M","-8.09%"
"Feb 24, 2021","254.27","229.87","275.56","226.37","11.78M","9.73%"
"Feb 23, 2021","231.72","268.51","268.51","206.15","15.88M","-13.36%"
"Feb 22, 2021","267.46","295.13","295.13","246.49","12.61M","-8.97%"
"Feb 21, 2021","293.80","254.92","298.78","254.92","10.65M","15.48%"
